Party_Name,Total_Tons,Record_Count,Avg_Tons,Min_Tons,Max_Tons,Cumulative_Tons,Cumulative_Pct,Tons_Pct,Similar_Names,Similar_Count
Cemtech Global Muhendislik As,1419801.64,57,24908.800701754386,5660.0,39100.0,309930822.80999994,59.3,0.27,,0
Carib Lpg Trading Ltd.,1290155.22,7,184307.88857142857,5256.0,319634.6,311220978.03,59.5,0.25,,0
Lafrage Emirates Cement Llc,1263341.0,31,40752.93548387097,13000.0,46161.0,312484319.03,59.8,0.24,,0
Saudi Cement Co.,1245848.0,29,42960.275862068964,13600.0,46218.0,313730167.03,60.0,0.24,,0
Cenovus Energy,1238623.86,25,49544.9544,22051.88,80914.0,314968790.89,60.2,0.24,,0
Bp Products North America,1237122.68,51,24257.307450980392,3453.0,58400.64,316205913.57,60.5,0.24,,0
Pmi Commercio International S.A. De,1233260.23,19,64908.43315789474,34789.0,83642.0,317439173.8,60.7,0.24,,0
Suncor International Energy & Trading,1216919.8399999999,18,67606.65777777777,23677.0,281000.0,318656093.64,60.9,0.23,,0
Zona Franca Argos S.A.S.,1211213.06,84,14419.203095238096,7000.0,22211.83,319867306.7,61.2,0.23,,0
Sonatrach,1208028.16,21,57525.15047619047,8000.0,133543.98,321075334.86,61.4,0.23,,0
Neste Oil Oyj,1193555.12,81,14735.24839506173,2695.0,38530.06,322268889.98,61.6,0.23,,0
Lafarge Na Meldrum Bay,1173900.0,63,18633.333333333332,5000.0,30000.0,323442789.98,61.9,0.22,,0
Morton Bahamas Ltd.,1173631.0,29,40470.03448275862,7865.0,46752.0,324616420.98,62.1,0.22,,0
Chevron Canada Resources,1152133.1199999999,16,72008.31999999999,57061.0,84682.0,325768554.1,62.3,0.22,,0
Shell Brasil Petroleo Ltda,1135268.1,20,56763.405000000006,27185.0,71147.7,326903822.20000005,62.5,0.22,,0
Akcansa Cimento San. Tic. A.S.,1130488.0,42,26916.380952380954,5500.0,52260.0,328034310.20000005,62.7,0.22,,0
Inustria De Compensados Sudati,1128647.0899999999,13,86819.00692307691,4949.51,299969.98,329162957.29,62.9,0.22,,0
