IMO,Vessel,Design,Type,DWT,LOA,Beam,Depth(m),GT,NRT,Grain,TPC,Dwt_Draft(m),Source_File
9958767,AAL HAMBURG,,"General Cargo =>30,000dwt",32537,176.913,30.044,15.5,25784,9268,0,0,10.3,Ship Results (41).xlsx
9958779,AAL HOUSTON,,"General Cargo =>30,000dwt",32506,176.913,30.044,15.5,25784,9268,0,0,10.3,Ship Results (41).xlsx
9958781,AAL ANTWERP,,"General Cargo =>30,000dwt",32531,176.913,30.044,15.5,25784,9268,0,0,10.3,Ship Results (41).xlsx
9958793,SEROJA XXIV,,"Tanker-<=4,999dwt",4764,0,15.02,6,2868,1950,0,0,4.78,Ship Results (28).xlsx
9958808,SEROJA XXV,,"Tanker-<=4,999dwt",4764,0,15.02,6,2868,1950,0,0,4.78,Ship Results (28).xlsx
9958846,VENTURE BAYOU,,LNG-New Panamax,88002,0,0,26.2,115728,34718,0,0,12.5,Ship Results (37).xlsx
9958858,ORION SAINT,,LNG-New Panamax,88059,0,0,26.2,115728,34718,0,0,12,Ship Results (37).xlsx
9958860,ASL HONG KONG,SDARI SL1800,Containership-Regional Feeder,24530,0,0,14.5,18724,8080,0,0,9.7,Ship Results (45).xlsx
9958872,ASL TAIPEI,SDARI SL1800,Containership-Regional Feeder,24466,0,0,14.5,18724,8080,0,0,9.7,Ship Results (45).xlsx
9958884,FJ IRIS,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax,82792,0,0,20.15,43655,27738,98090,0,14.579,Ship Results (6).xlsx
9958896,PACIFIC ETERNITY,Tess-64Aeroline,Bulk Carrier-Supra/Ultramax,63665,196.13,0,18.6,35600,21466,79019,0,13.325,Ship Results (13).xlsx
9958987,GAS NOUVEAU BAUHINIA,Panda93P,LPG-Very Large Gas Carrier,58201,225.931,36.63,22.489,54492,18906,0,74.1,12.19,Ship Results (29).xlsx
9958999,CELSIUS GALWAY,,LNG-New Panamax,92385,292.173,45.83,26.2,119063,35718,0,119.7,12.02,Ship Results (37).xlsx
9959008,CELSIUS GALAPAGOS,,LNG-New Panamax,92385,292.173,45.83,26.2,119063,35718,0,119.7,12.2,Ship Results (37).xlsx
9959046,ASL QINGDAO,SDARI SL1800,Containership-Regional Feeder,24516,0,0,14.5,18724,8080,0,0,9.7,Ship Results (45).xlsx
9959058,BELLFLOWER,,,1280,0,0,4.3,509,0,0,0,4.08,Ship Results (41)tanker.xlsx
9959060,MISATO,,,342,0,0,3.3,198,0,0,0,2.92,Ship Results (41)tanker.xlsx
9959072,FRANBO ACE,Kurushima 40BC,Bulk Carrier-Large Handy,39953,0,0,14.7,25010,12488,48358,0,10.346,Ship Results (2).xlsx
9959084,MERGANSER,Kurushima 40BC,Bulk Carrier-Large Handy,39971,0,0,14.7,25010,12488,48358,0,10.346,Ship Results (2).xlsx
9959096,PETROBRAS 78,,,329425,0,0,34.3,231827,123685,0,0,23.78,Ship Results (56).xlsx
9959149,LEMESSOS QUEEN,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax,82751,0,32.309,20.15,43613,27690,98000,0,14.55,Ship Results (6).xlsx
9959199,XING TONG 359,,LPG-Small Gas Carrier,5199,0,0,8,4938,1481,0,16.1,5.5,Ship Results (30).xlsx
9959216,PROTEUS,N181BC,Bulk Carrier-Capesize,182479,288.42,0,24.55,93367,59349,195291,0,18.234,Ship Results.xlsx
9959228,PROMETHEUS,N181BC,Bulk Carrier-Capesize,182384,288.42,0,24.55,93367,59349,195291,0,18.234,Ship Results.xlsx
9959307,BUNUN XCEL,SHI 40BC,Bulk Carrier-Large Handy,39697,174.69,0,14.8,24748,12430,49880,0,10.224,Ship Results (2).xlsx
9959319,BUNUN YOUTH,SHI 40BC,Bulk Carrier-Large Handy,39703,174.69,0,14.8,24748,12430,49880,0,10.224,Ship Results (2).xlsx
9959369,OCEANIC ETHER,,LPG-Small Gas Carrier,4699,93.58,0,8,4698,1410,0,14.9,6.119,Ship Results (30).xlsx
9959371,STELLA,,LPG-Small Gas Carrier,4708,93.58,17.62,8,4698,1410,0,14.8,6.119,Ship Results (30).xlsx
9959400,YM THERESA,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax,82778,0,32.309,20.15,43655,27708,97992,0,14.579,Ship Results (6).xlsx
9959412,LOWLANDS CONCORD,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax,82778,0,32.309,20,43655,27708,97992,0,14.579,Ship Results (6).xlsx
9959424,YM SPLENDOUR,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax,82715,0,32.309,20.15,43655,27708,97992,0,14.58,Ship Results (6).xlsx
9959436,LOWLANDS ALMA,Shikoku Neo40,Bulk Carrier-Handymax,40031,178.2,0,15.4,24386,12587,48908,0,10.826,Ship Results (1).xlsx
9959448,NORD TOKYO,Shikoku Neo40,Bulk Carrier-Handymax,40024,178.2,0,15.4,24386,12587,48908,0,10.826,Ship Results (1).xlsx
