Shipper,Consignee,Shipments,Tons,BOL_Count
Thyssenkrupp Rasselstein Gmb H,Thyssenkrupp Stainless Usa Llc,1371,387991.16,1371
"Yamada Sangyo Co., Ltd.",Scb Minerals Llc,12,387920.0,12
Vissai Ninh Binh Jsc,Glacier Northwest,15,386900.0,15
Biodiesel Bilbao S.L.,Green America Biofuels Llc,10,384979.54000000004,10
Sterling Oil Exploration Energy,Monroe Energy,21,384765.0,21
Qatar Chemical And Petrochemical,Chs Inc.,8,380844.27,8
Mobil Producing Nigeria Unlimited,ExxonMobil,10,380213.0,10
Ep Petroecuador,PBF Energy,10,377253.57,10
Xin Yu (Sanya) International,Eco Fertilizers Inc.,20,375655.75,20
Trafigura,Houston Refining,9,372016.0,9
Abu Dhabi National Oil Company,"China Zhenhua Oil Co., Ltd.",12,370897.82,12
Xin Yu (Sanya) International Tradin,Eco Fertilizers Inc.,10,366390.0,10
Jsc Nevinnomyssky Azot,Eurochem North America Corp.,23,362587.94,23
Siemens Gamesa Renewable Energy A S,North East Offshore Llc Delaware,36,361571.7,36
State Oil Marketing Company (SOMO),Raiffeisen Bank International Ag,8,359444.0,8
Celulose Nipo Brasileira Sa,Cenibra Inc.,57,358192.0,57
Trafigura,Valero,8,357170.17,8
Abu Dhabi National Oil Company,Penthol Llc,79,354255.13,79
Stemcor Usa Inc.,Stemcor Usa Inc.,8,352288.0,8
Lhp Vietnam Technology Investment,Two Rivers Cement,13,351920.0,13
Reliance Industries,ExxonMobil,10,351869.13,10
Adm International Sarl,Archer Daniels Midland Co.,64,351138.74,64
National Gypsum Canada Ltd.,National Gypsum Co.,9,349000.0,9
Silcotub S.A.,Tenaris Bay City,55,348794.95,55
Fca Us Llc,Fca Usa ( Low Sulphur Surcharge),509,347821.39,509
Medcem Global,Riverside Construction Materials,7,345262.0,7
Total Sa,"Total Energies Trading Asia Pte., Ltd.",12,344643.16000000003,12
Totalenergies Ep Nigeria Ltd.,Monroe Energy,5,343601.04,5
Trafigura,Puerto Rico Energy,20,341369.52,20
M T Chem Leo,Circon Enviromental,7,340085.0,7
Abu Dhabi Co. For Onshore,"Brb Singapore Pte., Ltd.",10,337968.0,10
Shougang Hierro Peru S.A.A.,China Shougang Internatio,6,335966.92,6
Uniland International Bv,Coastal Cement Corp.,11,335549.0,11
Yara Sluiskil B.V.,Yara North America,88,332166.0,88
ExxonMobil,Citgo,4,331402.1,4
S-Oil,Motiva Enterprises,105,331120.72000000003,105
Alunorte Alumina Do Norte Do,Ups Supply Chain Solutions,11,330006.16,11
