HS2,HS4,Records,Tons
83,8306,3,1.85
44,4420,9,1.83
90,9027,33,1.73
94,9402,5,1.67
89,8907,6,1.6500000000000001
34,3406,3,1.52
39,3913,1,1.37
71,7118,1,1.29
61,6101,1,1.23
24,2401,8,1.23
38,3809,2,1.19
39,3912,8,1.03
84,8444,1,0.97
38,3803,1,0.96
24,2402,6,0.96
70,7005,4,0.92
49,4903,17,0.8400000000000001
97,9701,5,0.77
85,8549,5,0.76
21,2105,2,0.64
90,9025,10,0.63
18,1802,6,0.63
29,2911,1,0.63
92,9207,3,0.6299999999999999
96,9617,2,0.62
42,4201,4,0.62
62,6202,1,0.61
74,7412,1,0.61
58,5807,1,0.6
32,3212,1,0.57
92,9201,1,0.56
05,0508,1,0.53
85,8510,3,0.53
82,8213,3,0.52
54,5407,2,0.52
87,8712,5,0.5
58,5806,1,0.5
71,7117,19,0.46
84,8470,1,0.45
90,9023,4,0.45
44,4414,5,0.44
76,7615,3,0.44
84,8453,2,0.44
06,0604,2,0.41000000000000003
84,8405,2,0.4
70,7016,3,0.4
64,6406,2,0.39
85,8547,1,0.39
61,6112,4,0.37
83,8303,3,0.37
55,5508,5,0.32
96,9602,1,0.24
85,8511,2,0.22
67,6702,2,0.19999999999999998
85,8526,4,0.19
40,4013,1,0.18
96,9608,2,0.15
84,8447,2,0.14
40,4014,4,0.14
82,8204,1,0.12
09,0909,1,0.12
84,8446,1,0.11
55,5504,1,0.11
39,3922,2,0.11
62,6214,1,0.1
90,9016,1,0.1
56,5605,1,0.09
52,5206,1,0.09
90,9014,7,0.09
28,2820,1,0.08
76,7608,1,0.07
82,8206,2,0.07
82,8212,2,0.06
96,9619,1,0.04
35,3503,1,0.04
57,5701,2,0.04
61,6107,1,0.03
66,6601,2,0.03
68,6807,1,0.03
79,7902,1,0.03
61,6117,1,0.03
62,6212,2,0.02
24,2403,2,0.02
85,8519,2,0.02
44,4419,1,0.02
61,6106,2,0.02
78,7802,1,0.01
35,3504,1,0.01
33,3306,1,0.01
85,8523,1,0.01
48,4814,1,0.01
61,6114,1,0.01
90,9024,1,0.01
84,8448,1,0.01
28,2844,1,0.01
15,1506,2,0.0
49,4909,1,0.0
83,8309,1,0.0
40,4006,2,0.0
49,4907,4,0.0
87,8710,1,0.0
11,1106,1,0.0
85,8540,2,0.0
