Section,Commodity,Metric,Value,Rank,Details
ORIGIN_COUNTRIES,"Chemicals (HS28-29, HS38)",Belgium,1.90M,10,5.3% of tonnage | 657 shipments
ORIGIN_COUNTRIES,"Chemicals (HS28-29, HS38)",Trinidad and Tobago,1.57M,76,4.4% of tonnage | 206 shipments
ORIGIN_COUNTRIES,"Chemicals (HS28-29, HS38)",South Korea,1.41M,70,3.9% of tonnage | 848 shipments
ORIGIN_COUNTRIES,"Chemicals (HS28-29, HS38)",Brazil,1.25M,12,3.5% of tonnage | 244 shipments
ORIGIN_COUNTRIES,"Chemicals (HS28-29, HS38)",Spain,1.09M,71,3.0% of tonnage | 223 shipments
ORIGIN_COUNTRIES,"Chemicals (HS28-29, HS38)",Canada,1.02M,15,2.8% of tonnage | 237 shipments
ORIGIN_COUNTRIES,"Chemicals (HS28-29, HS38)",Taiwan,938.8K,74,2.6% of tonnage | 202 shipments
,,,,,
VESSEL_TYPES,"Chemicals (HS28-29, HS38)",Tanker,23.01M,,"63.9% of tonnage | 3,821 shipments"
VESSEL_TYPES,"Chemicals (HS28-29, HS38)",Bulk Carrier,8.21M,,"22.8% of tonnage | 2,420 shipments"
VESSEL_TYPES,"Chemicals (HS28-29, HS38)",LPG/LNG Carrier,833.3K,,2.3% of tonnage | 126 shipments
VESSEL_TYPES,"Chemicals (HS28-29, HS38)",General Cargo,757.1K,,2.1% of tonnage | 212 shipments
VESSEL_TYPES,"Chemicals (HS28-29, HS38)",RoRo,177.1K,,0.5% of tonnage | 395 shipments
VESSEL_TYPES,"Chemicals (HS28-29, HS38)",Container,35.4K,,0.1% of tonnage | 81 shipments
VESSEL_TYPES,"Chemicals (HS28-29, HS38)",Reefer,1.3K,,0.0% of tonnage | 48 shipments
,,,,,
,,,,,
OVERVIEW,"Aggregates & Stone (HS25, HS68)",Total Records,"4,602",,
OVERVIEW,"Aggregates & Stone (HS25, HS68)",Total Tonnage,83.05M,,"83,054,336 metric tons"
OVERVIEW,"Aggregates & Stone (HS25, HS68)",Total Value,"$54,881,883,927",,
OVERVIEW,"Aggregates & Stone (HS25, HS68)",Unique Origins,227,,
OVERVIEW,"Aggregates & Stone (HS25, HS68)",Unique Destinations,94,,
,,,,,
TRADE_LANES,"Aggregates & Stone (HS25, HS68)",Sepetiba Bay -> The Port of Brownsville,4.01M,562,"82 shipments | $2,348,201,000"
TRADE_LANES,"Aggregates & Stone (HS25, HS68)",All Other Turkey Black Sea and Sea of Marmara Port -> Houston,1.87M,138,"45 shipments | $298,649,340"
TRADE_LANES,"Aggregates & Stone (HS25, HS68)",All Other Canada Pacific Region Ports -> Port of Redwood City,1.76M,53,"53 shipments | $59,307,000"
